Dataset	ScanNumber	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	Scan Filter Text	Source Voltage (kV)	Source Current (uA)
205812	1	0	0	0	0	0	0	0	0	0
205812	2	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	3	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	4	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	5	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	6	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	7	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	8	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	9	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	10	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	11	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	12	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	13	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	14	48.997	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.12
205812	15	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.12
205812	16	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	17	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	18	47.969	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	19	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	20	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	21	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	22	49.448	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	23	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	24	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	25	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	26	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.11
205812	27	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.11
205812	28	42.196	2	1	0.15	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.08
205812	29	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	30	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.08
205812	31	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	32	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.08
205812	33	10.000	1	0	0.11	0	0	ITMS + c NSI Full ms [150.00-700.00]	2.20	0.08
205812	34	50.000	2	1	0.16	1	0	ITMS + p NSI d Z ms [351.00-361.00]	2.20	0.08
