Dataset	ScanNumber	Ion Injection Time (ms)	Elapsed Scan Time (sec)	RawOvFtT	Injection t0	Scan Filter Text
706503	1	6.965	0.290	292077.5	0.022	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	2	6.241	0.289	245560.5	0.035	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	3	6.467	0.290	227568.2	0.013	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	4	4.628	0.288	217866.7	-0.005	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	5	7.261	0.290	291375.3	0.023	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	6	5.180	0.288	214836.9	-0.001	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	7	6.731	0.290	280768.6	0.047	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	8	7.056	0.290	297929.6	0.045	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	9	7.042	0.290	252535.6	0.032	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
706503	10	5.390	0.289	256931.6	0.041	FTMS + p ESI sa Full ms2 325.0000@etd50.00 325.0000@cid15.00 [150.0000-2000.0000]
