Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Elapsed Scan Time (sec)	Orbitrap Resolution	Dependency Type	Master Scan Number	Monoisotopic M/Z	Charge State	HCD Energy	MS2 Isolation Width	Conversion Parameter B	Conversion Parameter C	Temperature Comp. (ppm)	Space Charge Comp. (ppm)	Resolution Comp. (ppm)	RawOvFtT	Injection t0	Collision Mode	Scan Filter Text	Source Pressure
706505	1	On	1.243	0.147	60000	0	-1	-1.0000	0	-1.00	-1.00	211723524.400384	-151810674.498043	-6.75	-0.64	-0.17	1819934.1	-0.008		FTMS + p ESI Full ms [350.0000-2000.0000]	2.567
706505	2	On	0.017	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723793.266548	-151811060.066939	-6.75	-0.01	-0.17	78302.9	-0.020		FTMS + p ESI Full ms [350.0000-2000.0000]	2.567
706505	3	Predicted	0.485	0.199	30000	1	1	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	789312.7	0.024	hcd	FTMS + c ESI d Full ms2 432.9000@hcd30.00 [100.0000-1309.0000]	2.567
706505	4	Predicted	0.493	0.135	30000	1	1	0	3	-26.01	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	522963.9	0.047	hcd	FTMS + c ESI d Full ms2 433.9022@hcd30.00 [100.0000-1312.0000]	2.567
706505	5	Predicted	8.396	0.251	30000	1	1	0	2	-35.71	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	763172.6	0.038	hcd	FTMS + c ESI d Full ms2 648.8466@hcd30.00 [100.0000-1308.0000]	2.567
706505	6	Predicted	0.513	0.214	30000	1	3	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	584880.1	0.006	etd	FTMS + c ESI d Full ms2 432.9000@etd53.99 [100.0000-1309.0000]	2.567
706505	7	Predicted	0.486	0.180	30000	1	3	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	604423.7	0.008	sa_hcd	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@hcd30.00 [100.0000-1309.0000]	2.567
706505	8	Predicted	0.486	0.198	30000	1	3	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	558033.3	-0.021	sa_cid	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@cid30.00 [100.0000-1309.0000]	2.567
706505	9	Predicted	0.534	0.177	30000	1	4	0	3	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	426084.8	-0.020	etd	FTMS + c ESI d Full ms2 433.9022@etd53.99 [100.0000-1312.0000]	2.567
706505	10	Predicted	0.499	0.180	30000	1	4	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	462169.5	-0.059	sa_hcd	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@hcd30.00 [100.0000-1312.0000]	2.564
706505	11	Predicted	0.499	0.197	30000	1	4	0	3	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	417080.1	-0.020	sa_cid	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@cid30.00 [100.0000-1312.0000]	2.564
706505	12	Predicted	8.860	0.253	30000	1	5	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	419384.6	-0.017	etd	FTMS + c ESI d Full ms2 648.8466@etd121.47 [100.0000-1308.0000]	2.564
706505	13	Predicted	8.160	0.255	30000	1	5	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	399076.7	0.014	sa_hcd	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@hcd30.00 [100.0000-1308.0000]	2.564
706505	14	Predicted	8.160	0.262	30000	1	5	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	434434.3	-0.026	sa_cid	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@cid30.00 [100.0000-1308.0000]	2.564
706505	15	Predicted	32.591	0.135	30000	1	1	0	2	-29.41	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	794176.8	0	hcd	FTMS + c ESI d Full ms2 513.2823@hcd30.00 [100.0000-1037.0000]	2.564
706505	16	Predicted	8.475	0.135	30000	1	1	0	2	-35.76	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	527709.6	0.035	hcd	FTMS + c ESI d Full ms2 649.8492@hcd30.00 [100.0000-1310.0000]	2.564
706505	17	Predicted	40.974	0.285	30000	1	15	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	432465.0	0	etd	FTMS + c ESI d Full ms2 513.2823@etd121.47 [100.0000-1037.0000]	2.564
706505	18	Predicted	37.954	0.285	30000	1	15	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	472704.0	-0.012	sa_hcd	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@hcd30.00 [100.0000-1037.0000]	2.564
706505	19	Predicted	37.954	0.292	30000	1	15	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	477742.5	-0.048	sa_cid	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@cid30.00 [100.0000-1037.0000]	2.564
706505	20	Predicted	9.089	0.254	30000	1	16	0	2	-1.00	1.60	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	268125.0	-0.042	etd	FTMS + c ESI d Full ms2 649.8492@etd121.47 [100.0000-1310.0000]	2.564
706505	21	Predicted	8.258	0.255	30000	1	16	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	313665.7	0.012	sa_hcd	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@hcd30.00 [100.0000-1310.0000]	2.564
706505	22	Predicted	8.258	0.262	30000	1	16	0	2	-1.00	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	324828.8	-0.016	sa_cid	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@cid30.00 [100.0000-1310.0000]	2.564
706505	23	On	0.281	0.146	60000	0	-1	-1.0000	0	-1.00	-1.00	211723736.870275	-151810979.194649	-6.75	-0.14	-0.17	578509.6	-0.018		FTMS + p ESI Full ms [350.0000-2000.0000]	2.564
706505	24	Predicted	0.486	0.199	30000	1	2	0	3	-25.99	2.00	211723797.430983	-151811066.037967	-6.75	-0.08	-0.09	818654.1	0.035	hcd	FTMS + c ESI d Full ms2 432.8995@hcd30.00 [100.0000-1309.0000]	2.564
