Dataset	ScanNumber	Elapsed Scan Time (sec)	Scan Filter Text
490409	1	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	2	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	3	0.54	- p NSI Full ms2 218.110 [50.100-250.000]
490409	4	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	5	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	6	0.53	- p NSI Full ms2 218.110 [50.100-250.000]
490409	7	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	8	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	9	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	10	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	11	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	12	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	13	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	14	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	15	0.53	- p NSI Full ms2 218.110 [50.100-250.000]
490409	16	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	17	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	18	0.52	- p NSI Full ms2 218.110 [50.100-250.000]
490409	19	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	20	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	21	0.52	- p NSI Full ms2 218.110 [50.100-250.000]
490409	22	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	23	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	24	0.53	- p NSI Full ms2 218.110 [50.100-250.000]
490409	25	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	26	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	27	0.52	- p NSI Full ms2 218.110 [50.100-250.000]
490409	28	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	29	0.51	- p NSI Full ms2 218.110 [50.100-250.000]
490409	30	0.52	- p NSI Full ms2 218.110 [50.100-250.000]
